Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule,1.255417,27,22,1,299.9834
Capsule (3),0.0035504,29,26,1,299.9834
Capsule (4),0.0093568,18,31,0,299.9834
Capsule (2),2.499825,32,26,1,299.9834
Capsule (5),2.332782,32,27,1,299.9834
Capsule (1),0.1888273,28,30,0,299.9834
Capsule (6),0.0106989,22,20,1,299.9834
Capsule (7),2.45396,23,29,0,299.9834
1,,,,,
,,,,,
,,,,,
Capsule (6),0.6855026,26,29,0,295.2053
Capsule (7),4.607428,20,28,0,295.2053
Capsule,1.415105,35,22,1,295.2053
Capsule (4),0.4706289,25,22,1,295.2053
Capsule (2),0.0038142,24,29,0,295.2053
Capsule (3),0.7319273,31,26,1,295.2053
Capsule (1),2.250304,32,27,1,295.2053
Capsule (5),0.2132223,21,31,0,295.2053
2,,,,,
,,,,,
,,,,,
Capsule (6),0.0168614,23,29,0,255.3621
Capsule (7),0.0917381,30,23,1,255.3621
Capsule,0.018176,30,32,0,255.3621
Capsule (4),0.3885976,28,30,0,255.3621
Capsule (2),0.0082369,30,20,1,255.3621
Capsule (3),1.931043,35,25,1,255.3621
Capsule (1),0.0081121,24,29,0,255.3621
Capsule (5),0.1980404,16,28,0,255.3621
3,,,,,
,,,,,
,,,,,
Capsule (6),0.1261227,35,24,1,278.8403
Capsule (7),1.415151,27,27,1,278.8403
Capsule,1.88137,19,33,0,278.8403
Capsule (4),0.0042767,24,21,1,278.8403
Capsule (2),0.0154058,34,24,1,278.8403
Capsule (3),1.025262,21,31,0,278.8403
Capsule (1),3.999229,27,27,1,278.8403
Capsule (5),0.0088675,24,24,1,278.8403
4,,,,,
,,,,,
,,,,,
Capsule (6),0.0052754,31,25,1,299.9834
Capsule (7),2.8008,26,25,1,299.9834
Capsule,0.0049628,27,26,1,299.9834
Capsule (4),0.4190133,26,27,0,299.9834
Capsule (2),1.929488,20,33,0,299.9834
Capsule (3),0.0048969,27,29,0,299.9834
Capsule (1),0.0142569,28,26,1,299.9834
Capsule (5),0.0747446,31,25,1,299.9834
5,,,,,
,,,,,
,,,,,
Capsule (6),0.0042607,31,27,1,257.6778
Capsule (7),0.049368,26,23,1,257.6778
Capsule,0.2317421,27,24,1,257.6778
Capsule (4),0.0220267,35,24,1,257.6778
Capsule (2),1.42714,30,24,1,257.6778
Capsule (3),1.8342,15,36,0,257.6778
Capsule (1),1.366757,27,19,1,257.6778
Capsule (5),0.1470946,19,33,0,257.6778
6,,,,,
,,,,,
,,,,,
Capsule (6),5.420522,26,32,0,299.9819
Capsule (7),0.211496,30,30,1,299.9819
Capsule,0.2286207,28,25,1,299.9819
Capsule (4),0.0215382,27,30,0,299.9819
Capsule (2),0.1163275,31,26,1,299.9819
Capsule (3),0.2153759,23,28,0,299.9819
Capsule (1),0.0140505,31,26,1,299.9819
Capsule (5),0.2238798,28,27,1,299.9819
7,,,,,
,,,,,
,,,,,
Capsule (6),0.1196464,19,28,0,224.023
Capsule (7),0.0053142,15,28,0,224.023
Capsule,1.332783,22,25,0,224.023
Capsule (4),0.2184819,35,19,1,224.023
Capsule (2),0.0048912,28,18,1,224.023
Capsule (3),3.150052,19,22,0,224.023
Capsule (1),3.492431,24,24,1,224.023
Capsule (5),3.256723,27,25,1,224.023
8,,,,,
,,,,,
,,,,,
Capsule (6),0.00407,13,16,0,199.9315
Capsule (7),0.0051854,21,18,1,199.9315
Capsule,0.0213404,12,21,0,199.9315
Capsule (4),0.0194172,35,14,2,199.9315
Capsule (2),1.930867,15,14,1,199.9315
Capsule (3),0.017238,25,27,0,199.9315
Capsule (1),1.226273,23,21,1,199.9315
Capsule (5),1.842155,12,25,0,199.9315
9,,,,,
,,,,,
,,,,,
Capsule (6),0.1420446,27,30,0,261.0873
Capsule (7),0.2192001,27,22,1,261.0873
Capsule,0.0239718,35,25,1,261.0873
Capsule (4),4.507335,18,24,0,261.0873
Capsule (2),0.3834972,27,30,0,261.0873
Capsule (3),3.648082,20,27,0,261.0873
Capsule (1),3.009128,24,31,0,261.0873
Capsule (5),0.859229,34,23,1,261.0873
10,,,,,
,,,,,
,,,,,
Capsule (6),0.9343068,8,31,0,206.1183
Capsule (7),0.0059169,13,18,0,206.1183
Capsule,1.731725,35,9,3,206.1183
Capsule (4),0.9206104,24,17,1,206.1183
Capsule (2),0.0040798,19,23,0,206.1183
Capsule (3),2.499308,21,15,1,206.1183
Capsule (1),1.260287,19,29,0,206.1183
Capsule (5),2.325496,21,18,1,206.1183
11,,,,,
,,,,,
,,,,,
Capsule (6),0.2180457,34,26,1,299.9663
Capsule (7),1.140553,33,32,1,299.9663
Capsule,0.019611,25,32,0,299.9663
Capsule (4),0.0053071,34,32,1,299.9663
Capsule (2),0.0055549,29,40,0,299.9663
Capsule (3),2.470645,25,29,0,299.9663
Capsule (1),2.239534,34,20,1,299.9663
Capsule (5),0.0041472,29,32,0,299.9663
12,,,,,
,,,,,
,,,,,
Capsule (6),1.322517,26,24,1,249.5318
Capsule (7),0.7729354,35,27,1,249.5318
Capsule,0.1377696,18,26,0,249.5318
Capsule (4),1.320391,30,22,1,249.5318
Capsule (2),0.0049037,30,23,1,249.5318
Capsule (3),0.105872,27,24,1,249.5318
Capsule (1),0.0051738,20,31,0,249.5318
Capsule (5),1.082355,24,33,0,249.5318
13,,,,,
,,,,,
,,,,,
Capsule (6),2.460785,24,26,0,254.7002
Capsule (7),0.0047879,21,29,0,254.7002
Capsule,0.0095319,29,19,1,254.7002
Capsule (4),1.550782,20,35,0,254.7002
Capsule (2),0.8209374,26,22,1,254.7002
Capsule (3),0.1786287,35,22,1,254.7002
Capsule (1),0.018003,19,26,0,254.7002
Capsule (5),0.8727287,27,22,1,254.7002
14,,,,,
,,,,,
,,,,,
Capsule (6),0.1032324,29,23,1,255.7964
Capsule (7),2.613181,22,27,0,255.7964
Capsule,1.901357,27,24,1,255.7964
Capsule (4),0.0041008,19,25,0,255.7964
Capsule (2),0.2059287,20,23,0,255.7964
Capsule (3),0.1039686,30,25,1,255.7964
Capsule (1),0.2110803,35,19,1,255.7964
Capsule (5),1.37631,13,29,0,255.7964
15,,,,,
,,,,,
,,,,,
Capsule (6),0.0212984,28,20,1,206.8151
Capsule (7),2.601703,35,15,2,206.8151
Capsule,0.8192782,13,18,0,206.8151
