Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule BC (1),19.79457,18,16,1,563.0945,0
Capsule BC (2),0.2616908,20,24,0,563.0945,0
Capsule BC (6),1.030469,16,20,0,563.0945,0
Capsule BC (7),11.17595,15,17,0,563.0945,0
Capsule BC,0.883636,15,25,0,563.0945,1
Capsule BC (5),1.778248,20,17,1,563.0945,1
Capsule BC (3),0.0183964,18,15,1,563.0945,1
Capsule BC (4),0.0172004,22,10,2,563.0945,1
1


Capsule BC (3),13.51534,17,20,0,457.8456,0
Capsule BC (1),0.3536926,16,17,0,457.8456,0
Capsule BC (4),0.2559496,23,17,1,457.8456,0
Capsule BC (5),7.795265,19,20,0,457.8456,0
Capsule BC (7),7.031884,16,21,0,457.8456,1
Capsule BC (6),1.834249,20,13,1,457.8456,1
Capsule BC (2),1.183994,9,25,0,457.8456,1
Capsule BC,1.894694,25,12,2,457.8456,1
2
