Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule,0.2960942,17,18,0,201.0706,0
Capsule (3),0.0626285,22,13,1,201.0706,0
Capsule (4),0.8350919,12,24,0,201.0706,0
Capsule (2),1.441494,10,22,0,201.0706,0
Capsule (5),0.0607347,25,14,1,201.0706,1
Capsule (1),0.0166188,19,13,1,201.0706,1
Capsule (6),0.7424999,15,18,0,201.0706,1
Capsule (7),2.937168,16,14,1,201.0706,1
1


Capsule (5),0.0173579,9,16,0,173.8727,0
Capsule (6),2.449194,16,15,1,173.8727,0
Capsule (3),2.438893,18,21,0,173.8727,0
Capsule,1.118898,13,25,0,173.8727,0
Capsule (2),0.0979811,20,11,1,173.8727,1
Capsule (7),0.2868499,16,14,1,173.8727,1
Capsule (1),0.274334,20,17,1,173.8727,1
Capsule (4),0.0658146,19,12,1,173.8727,1
2


Capsule (5),0.0162429,22,19,1,180.4417,0
Capsule (6),0.1390457,13,18,0,180.4417,0
Capsule (3),1.595749,21,15,1,180.4417,0
Capsule,0.0329373,19,13,1,180.4417,0
Capsule (2),0.0328792,18,19,0,180.4417,1
Capsule (7),0.8956397,10,17,0,180.4417,1
Capsule (1),1.160839,18,15,1,180.4417,1
Capsule (4),0.2777606,14,19,0,180.4417,1
3


Capsule (5),4.105417,14,15,0,191.1774,0
Capsule (6),0.0675855,20,14,1,191.1774,0
Capsule (3),0.7179908,16,29,0,191.1774,0
Capsule,0.8666461,15,18,0,191.1774,0
Capsule (2),0.6344727,14,14,1,191.1774,1
Capsule (7),1.218577,23,15,1,191.1774,1
Capsule (1),0.0493981,13,18,0,191.1774,1
Capsule (4),0.2202087,25,17,1,191.1774,1
4


Capsule (5),0.0657937,15,24,0,212.9142,0
Capsule (6),0.1277129,15,17,0,212.9142,0
Capsule (3),0.5005693,16,22,0,212.9142,0
Capsule,0.3199456,24,18,1,212.9142,0
Capsule (2),0.1838537,15,19,0,212.9142,1
Capsule (7),2.015538,22,13,1,212.9142,1
Capsule (1),0.3174381,21,14,1,212.9142,1
Capsule (4),0.0800056,17,18,0,212.9142,1
5


Capsule (5),1.256317,19,15,1,194.5642,0
Capsule (6),2.259279,18,17,1,194.5642,0
Capsule (3),0.0447036,18,23,0,194.5642,0
Capsule,2.213097,11,15,0,194.5642,0
Capsule (2),0.9221488,24,13,1,194.5642,1
Capsule (7),0.0339084,20,15,1,194.5642,1
Capsule (1),0.2109921,17,22,0,194.5642,1
Capsule (4),0.08274589,14,21,0,194.5642,1
6


Capsule (5),0.0466757,25,13,1,184.6077,0
Capsule (6),0.060064,25,16,1,184.6077,0
Capsule (3),2.923611,20,14,1,184.6077,0
Capsule,5.213367,5,21,0,184.6077,0
Capsule (2),0.0878458,17,13,1,184.6077,1
Capsule (7),0.8847504,13,21,0,184.6077,1
Capsule (1),1.784597,18,14,1,184.6077,1
Capsule (4),0.0502242,10,21,0,184.6077,1
7


Capsule (5),0.0167551,18,22,0,209.5301,0
Capsule (6),1.353991,15,13,1,209.5301,0
Capsule (3),0.0185169,19,21,0,209.5301,0
Capsule,2.038729,17,18,0,209.5301,0
Capsule (2),0.2057827,20,24,0,209.5301,1
Capsule (7),7.335608,23,12,1,209.5301,1
Capsule (1),0.2788199,16,20,0,209.5301,1
Capsule (4),2.073315,16,14,1,209.5301,1
8


Capsule (5),2.346563,14,24,0,203.1563,0
Capsule (6),0.9433628,18,14,1,203.1563,0
Capsule (3),0.016475,23,18,1,203.1563,0
Capsule,1.776651,20,21,0,203.1563,0
Capsule (2),1.739409,23,20,1,203.1563,1
Capsule (7),0.0632644,13,18,0,203.1563,1
Capsule (1),0.4502506,15,15,1,203.1563,1
Capsule (4),0.0158684,20,16,1,203.1563,1
9


Capsule (5),5.167745,17,15,1,220.6907,0
Capsule (6),0.2799791,29,19,1,220.6907,0
Capsule (3),0.1459832,15,24,0,220.6907,0
Capsule,0.0330598,12,18,0,220.6907,0
Capsule (2),2.840065,17,20,0,220.6907,1
Capsule (7),0.6780403,14,19,0,220.6907,1
Capsule (1),0.0473271,19,20,0,220.6907,1
Capsule (4),0.016526,25,13,1,220.6907,1
10


Capsule (5),1.796631,26,13,2,200.7117,0
Capsule (6),1.174119,15,19,0,200.7117,0
Capsule (3),1.502145,15,17,0,200.7117,0
Capsule,2.414422,19,24,0,200.7117,0
Capsule (2),0.3683815,21,11,1,200.7117,1
