Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (7),0.0142704,17,13,1,299.9843
Capsule (6),4.745687,11,15,0,299.9843
Capsule (1),0.4203799,14,10,1,299.9843
Capsule (5),1.054326,10,14,0,299.9843
Capsule (2),0.0263699,6,9,0,299.9843
Capsule (4),0.8775184,12,11,1,299.9843
Capsule (3),1.852337,10,10,1,299.9843
Capsule,0.1748334,16,14,1,299.9843
1


Capsule (2),12.47358,11,11,1,299.3372
Capsule (6),0.0138438,10,14,0,299.3372
Capsule (5),0.0103214,11,12,0,299.3372
Capsule (3),0.333254,18,11,1,299.3372
Capsule (4),0.5529829,12,13,0,299.3372
Capsule (7),3.642994,11,7,1,299.3372
Capsule (1),2.252476,7,13,0,299.3372
Capsule,0.2870062,10,9,1,299.3372
2


Capsule (2),1.320443,10,9,1,299.8501
Capsule (6),0.011283,14,14,1,299.8501
Capsule (5),10.70652,10,8,1,299.8501
Capsule (3),1.853127,8,14,0,299.8501
Capsule (4),1.452292,15,11,1,299.8501
Capsule (7),2.124857,16,13,1,299.8501
Capsule (1),0.0095045,12,14,0,299.8501
Capsule,4.871394,11,13,0,299.8501
3


Capsule (2),4.191432,15,11,1,299.6924
Capsule (6),1.461594,12,14,0,299.6924
Capsule (5),1.18293,13,12,1,299.6924
Capsule (3),0.0171097,11,17,0,299.6924
Capsule (4),2.665867,15,15,1,299.6924
Capsule (7),14.45738,16,13,1,299.6924
Capsule (1),3.835404,23,16,1,299.6924
Capsule,1.260039,9,16,0,299.6924
4


Capsule (2),0.3273512,10,10,1,299.8595
Capsule (6),2.147222,20,16,1,299.8595
Capsule (5),0.1416401,8,10,0,299.8595
Capsule (3),0.103646,16,14,1,299.8595
Capsule (4),0.2897028,18,12,1,299.8595
Capsule (7),0.2125931,12,12,1,299.8595
Capsule (1),1.182994,9,14,0,299.8595
Capsule,1.030222,11,16,0,299.8595
5


Capsule (2),0.7428957,16,16,1,299.9802
Capsule (6),7.381136,7,12,0,299.9802
