Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
Capsule (7),1.748204,26,25,1,299.9838
Capsule (6),0.0046096,33,30,1,299.9838
Capsule (1),0.2130817,28,24,1,299.9838
Capsule (5),3.787165,24,34,0,299.9838
Capsule (2),0.7020895,24,25,0,299.9838
Capsule (4),0.0031925,32,32,1,299.9838
Capsule (3),0.0103326,34,25,1,299.9838
Capsule,0.0119309,22,28,0,299.9838
1


Capsule (2),1.549567,27,23,1,277.5711
Capsule (4),0.0057064,35,27,1,277.5711
Capsule (3),0.4907528,17,28,0,277.5711
Capsule,0.6096339,25,27,0,277.5711
Capsule (5),0.2213838,34,25,1,277.5711
Capsule (1),0.0046356,16,29,0,277.5711
Capsule (7),0.2109211,29,28,1,277.5711
Capsule (6),2.062535,32,28,1,277.5711
2


Capsule (2),0.0153422,22,19,1,234.22
Capsule (4),1.461761,18,23,0,234.22
Capsule (3),1.991042,23,23,1,234.22
Capsule,0.4272147,22,27,0,234.22
Capsule (5),0.2710079,17,22,0,234.22
Capsule (1),1.229028,35,22,1,234.22
Capsule (7),1.467767,15,24,0,234.22
Capsule (6),1.61181,29,21,1,234.22
3


Capsule (2),0.01616,33,31,1,287.9575
Capsule (4),0.0197914,23,32,0,287.9575
Capsule (3),0.221785,30,29,1,287.9575
Capsule,0.0187852,30,27,1,287.9575
Capsule (5),0.0074942,23,30,0,287.9575
Capsule (1),0.5835155,30,25,1,287.9575
Capsule (7),0.2081619,35,28,1,287.9575
Capsule (6),1.631394,24,26,0,287.9575
4


Capsule (2),2.245482,35,22,1,273.4784
Capsule (4),0.0180326,29,23,1,273.4784
Capsule (3),0.4860004,28,21,1,273.4784
Capsule,0.08551911,25,22,1,273.4784
Capsule (5),1.021505,20,32,0,273.4784
Capsule (1),0.0080694,20,31,0,273.4784
Capsule (7),0.0363127,16,28,0,273.4784
Capsule (6),1.628137,30,24,1,273.4784
5


Capsule (2),0.0065853,35,20,1,260.0907
Capsule (4),0.005088,29,20,1,260.0907
Capsule (3),0.0255105,22,22,1,260.0907
Capsule,0.7613037,23,27,0,260.0907
Capsule (5),0.698007,19,29,0,260.0907
Capsule (1),0.0095546,33,26,1,260.0907
Capsule (7),0.336603,16,26,0,260.0907
