Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule (7),0.2228521,17,15,1,205.6252,0
Capsule (5),0.4023977,29,14,2,205.6252,0
Capsule (4),0.3640271,17,22,0,205.6252,0
Capsule (1),0.0043847,12,13,0,205.6252,0
Capsule,0.5582519,23,17,1,205.6252,1
Capsule (2),0.2093162,17,28,0,205.6252,1
Capsule (6),0.0165369,15,17,0,205.6252,1
Capsule (3),0.0028464,17,21,0,205.6252,1
1


Capsule (2),2.183879,15,18,0,181.5697,0
Capsule (6),2.012382,15,19,0,181.5697,0
Capsule,0.4705937,16,19,0,181.5697,0
Capsule (7),0.0077753,11,19,0,181.5697,0
Capsule (3),0.0045594,20,12,1,181.5697,1
Capsule (4),0.0048843,16,16,1,181.5697,1
Capsule (1),1.027293,20,15,1,181.5697,1
Capsule (5),0.0130639,19,14,1,181.5697,1
2


Capsule (2),0.0047463,17,17,1,180.6628,0
Capsule (6),0.0107129,10,21,0,180.6628,0
Capsule,2.609414,13,15,0,180.6628,0
Capsule (7),0.6850516,25,19,1,180.6628,0
Capsule (3),3.920268,18,13,1,180.6628,1
Capsule (4),7.646872,20,16,1,180.6628,1
Capsule (1),1.429249,22,23,0,180.6628,1
Capsule (5),0.0035353,15,16,0,180.6628,1
3


Capsule (2),3.145895,7,23,0,181.0689,0
Capsule (6),0.7377883,18,16,1,181.0689,0
Capsule,0.0086955,17,13,1,181.0689,0
Capsule (7),1.620857,19,18,1,181.0689,0
Capsule (3),0.0088887,23,15,1,181.0689,1
Capsule (4),0.8317453,14,13,1,181.0689,1
Capsule (1),0.011541,22,18,1,181.0689,1
Capsule (5),3.404706,16,20,0,181.0689,1
4


Capsule (2),0.0039215,16,12,1,178.7458,0
Capsule (6),1.412294,13,22,0,178.7458,0
Capsule,0.2150148,24,6,4,178.7458,0
Capsule (7),0.0136347,22,18,1,178.7458,0
Capsule (3),4.612294,13,15,0,178.7458,1
Capsule (4),0.5942788,13,25,0,178.7458,1
Capsule (1),1.81383,17,16,1,178.7458,1
Capsule (5),1.325435,14,18,0,178.7458,1
5


Capsule (2),1.368768,22,13,1,204.9665,0
Capsule (6),0.0097078,13,17,0,204.9665,0
Capsule,3.065141,15,23,0,204.9665,0
Capsule (7),0.0188784,25,17,1,204.9665,0
Capsule (3),0.0570324,16,19,0,204.9665,1
Capsule (4),0.126599,13,24,0,204.9665,1
Capsule (1),0.0039676,19,14,1,204.9665,1
Capsule (5),0.2153581,20,16,1,204.9665,1
6


Capsule (2),0.016742,13,13,1,172.7789,0
Capsule (6),0.0167818,15,20,0,172.7789,0
Capsule,0.4235051,13,20,0,172.7789,0
Capsule (7),0.1229027,12,19,0,172.7789,0
Capsule (3),0.0039279,18,13,1,172.7789,1
Capsule (4),1.536103,19,18,1,172.7789,1
Capsule (1),2.230977,11,11,1,172.7789,1
Capsule (5),1.625791,27,14,1,172.7789,1
7


Capsule (2),1.822482,14,13,1,168.4643,0
Capsule (6),4.889558,27,16,1,168.4643,0
Capsule,0.4252929,19,16,1,168.4643,0
Capsule (7),1.576005,15,12,1,168.4643,0
Capsule (3),2.504487,14,17,0,168.4643,1
Capsule (4),0.0031502,15,21,0,168.4643,1
Capsule (1),1.330882,17,20,0,168.4643,1
Capsule (5),2.71494,17,23,0,168.4643,1
8


Capsule (2),0.0033357,18,15,1,186.7532,0
Capsule (6),0.0030286,15,21,0,186.7532,0
Capsule,0.0030716,18,18,1,186.7532,0
Capsule (7),0.0030544,16,20,0,186.7532,0
Capsule (3),0.6168008,18,18,1,186.7532,1
Capsule (4),1.027173,20,16,1,186.7532,1
Capsule (1),0.0069557,18,16,1,186.7532,1
Capsule (5),0.3283926,19,18,1,186.7532,1
9


